Annotations,Speaker,Utterance,,,,
,%com,baby falls off but it is not remarked on leans to look over at back of car .,,,,
NOP,*BOB,what's license is .,,,,
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 noun|license aux|be-Fin-Ind-Pres-S3 .,,,,
,%gra,1|4|ROOT 2|1|COP 3|1|NSUBJ 4|1|COP 5|1|PUNCT,,,,
NOP,*CHI,license .,,,,
,%mor,noun|license .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,oh yeah .,,,,
,%mor,intj|oh intj|yeah .,,,,
,%gra,1|2|ROOT 2|1|DISCOURSE 3|1|PUNCT,,,,
,%com,finally seeing it . excitement,,,,
NOP,*CHI,it has on real cars .,,,,
,%mor,pron|it-Prs-Nom-S3 verb|have-Fin-Ind-Pres-S3 adp|on adj|real-Pos-S1 noun|car-Plur .,,,,
,%gra,1|2|NSUBJ 2|5|ROOT 3|5|CASE 4|5|AMOD 5|2|OBL 6|2|PUNCT,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,it has on real cars .,,,,
,%mor,pron|it-Prs-Nom-S3 verb|have-Fin-Ind-Pres-S3 adp|on adj|real-Pos-S1 noun|car-Plur .,,,,
,%gra,1|2|NSUBJ 2|5|ROOT 3|5|CASE 4|5|AMOD 5|2|OBL 6|2|PUNCT,,,,
,%com,Bob still enthusiastic,,,,
NOP,*BOB,yeah that's +...,,,,
,%mor,intj|yeah pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 +...,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
,%com,but turns back to driving during .,,,,
NOP,*BOB,that's how's on real cars yeah you're right that's how real cars have em [= license plates] .,,,,
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adv|how~aux|be-Fin-Ind-Pres-S3 adp|on adj|real-Pos-S1 noun|car-Plur intj|yeah pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 adv|right pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adv|how adj|real-Pos-S1 noun|car-Plur verb|have-Fin-Ind-Pres-P3 pron|they-Prs-Acc-P3 .,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|18|ROOT 4|7|COP 5|7|CASE 6|7|AMOD 7|3|OBL 8|14|DISCOURSE 9|14|NSUBJ 10|14|COP 11|14|ADVMOD 12|14|NSUBJ 13|14|COP 14|3|PARATAXIS 15|16|AMOD 16|17|NSUBJ 17|14|ADVCL-RELCL 18|17|OBJ 19|3|PUNCT,,,,
NOP,*CHI,oh the baby fell off .,,,,
,%mor,intj|oh det|the-Def-Art noun|baby verb|fall-Fin-Ind-Past-S3 adv|off .,,,,
,%gra,1|4|DISCOURSE 2|3|DET 3|4|NSUBJ 4|5|ROOT 5|4|ADVMOD 6|4|PUNCT,,,,
,%com,driving noises . pause Glo sees baby which fell off about eight turns previously and she picks it up,,,,
NOP,*BOB,yeah xxx .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,response,,,,
NOP,*BOB,there's a fire .,,,,
,%mor,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|fire .,,,,
,%gra,1|2|EXPL 2|4|ROOT 3|4|DET 4|2|NSUBJ 5|2|PUNCT,,,,
,%com,"very loud . excited . Glo holds baby a while , then moves over to stool while Bob drives",,,,
NOP,*CHI,oh the baby .,,,,
,%mor,intj|oh det|the-Def-Art noun|baby .,,,,
,%gra,1|3|DISCOURSE 2|3|DET 3|3|ROOT 4|3|PUNCT,,,,
NOP,*CHI,let's tell father fix the fire .,,,,
,%mor,verb|let-Fin-Imp-S~pron|we-Prs-Acc-P1 verb|tell-Inf-S noun|father verb|fix-Inf-S det|the-Def-Art noun|fire .,,,,
,%gra,1|7|ROOT 2|1|OBJ 3|1|XCOMP 4|3|IOBJ 5|3|CCOMP 6|7|DET 7|5|OBJ 8|1|PUNCT,,,,
NOP,*CHI,father can you fix the toilet ?,,,,
,%mor,noun|father aux|can-Fin-S pron|you-Prs-Nom-S2 verb|fix-Inf-S det|the-Def-Art noun|toilet ?,,,,
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT,,,,
,%tim,0,5,15,,
,%com,"<aft> Bob responds by getting off car , puting imaginary hose to toilet makes water noise .",,,,
,%par,<aft> calls,,,,
NOP,*CHI,father .,,,,
,%mor,noun|father .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,not so rough .,,,,
,%mor,part|not adv|so adj|rough-Pos-S1 .,,,,
,%gra,1|3|ADVMOD 2|3|ADVMOD 3|3|ROOT 4|3|PUNCT,,,,
,%com,"Glo busy with tools , fixing toilet her way .",,,,
NOP,*BOB,I hafta fix fix xxx .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|hafta-Fin-Ind-Pres-S1 verb|fix-Inf-S noun|fix .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,,,
,%tim,0,5,30,,
NOP,*BOB,put out the fire .,,,,
,%mor,verb|put-Fin-Imp-S adp|out det|the-Def-Art noun|fire .,,,,
,%gra,1|4|ROOT 2|1|COMPOUND-PRT 3|4|DET 4|1|OBJ 5|1|PUNCT,,,,
,%com,for the next 1 line(s),Bob still interested in fire goes back to car .,,,
NOP,*BOB,it's alright the fire's away the fire's away .,,,,
,%mor,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|alright-Pos-S1 det|the-Def-Art noun|fire~aux|be-Fin-Ind-Pres-S3 adv|away det|the-Def-Art noun|fire~part|s adv|away .,,,,
,%gra,1|3|EXPL 2|3|COP 3|11|ROOT 4|5|DET 5|7|NSUBJ 6|7|COP 7|3|CCOMP 8|9|DET 9|11|NMOD-POSS 10|9|CASE 11|7|ADVMOD 12|3|PUNCT,,,,
NOP,*BOB,oop oh the baby fell off .,,,,
,%mor,intj|oop intj|oh det|the-Def-Art noun|baby verb|fall-Fin-Ind-Past-S3 adv|off .,,,,
,%gra,1|5|DISCOURSE 2|5|DISCOURSE 3|4|DET 4|5|NSUBJ 5|6|ROOT 6|5|ADVMOD 7|5|PUNCT,,,,
,%com,for the next 1 line(s),turn around and immediate cry of pretend distress,,,
POL,*CHI,&~aw the little .,,,,
,%mor,det|the-Def-Art adj|little-Pos-S1 .,,,,
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT,,,,
,%tim,0,5,45,,
NOP,*CHI,the little baby's sick .,,,,
,%mor,det|the-Def-Art adj|little-Pos-S1 noun|baby~part|s adj|sick-Pos-S1 .,,,,
,%gra,1|3|DET 2|3|AMOD 3|5|NMOD-POSS 4|3|CASE 5|5|ROOT 6|5|PUNCT,,,,
,%com,Bob watches,,,,
NOP,*BOB,can I go xxx ?,,,,
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|go-Inf-S ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
,%com,says this as Glo moves off with baby,,,,
NOP,*CHI,I hafta put her to bed now I'm going to put her [= doll] .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|hafta-Fin-Ind-Pres-S1 verb|put-Inf-S pron|her-Prs-Acc-S3 adp|to noun|bed adv|now pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|go-Part-Pres-S part|to verb|put-Inf-S pron|her-Prs-Acc-S3 .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|13|ROOT 4|3|OBJ 5|6|CASE 6|3|OBL 7|3|ADVMOD 8|10|NSUBJ 9|10|AUX 10|3|PARATAXIS 11|12|MARK 12|10|XCOMP 13|12|OBJ 14|3|PUNCT,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,to bed .,,,,
,%mor,part|to verb|bed-Inf-S .,,,,
,%gra,1|2|MARK 2|2|ROOT 3|2|PUNCT,,,,
,%com,Glo makes . bed of curtain for baby doll . Bob matches,,,,
NOP,*BOB,you're going to make her bed ?,,,,
,%mor,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 verb|go-Part-Pres-S part|to verb|make-Inf-S pron|her-Prs-Gen-S3 noun|bed ?,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|5|MARK 5|3|XCOMP 6|7|NMOD-POSS 7|5|OBJ 8|3|PUNCT,,,,
,%tim,0,6,0,,
,%com,echo question . Bob continues to watch and then begins to drive again,,,,
NOP,*CHI,yup .,,,,
,%mor,intj|yup .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,&-um .,,,,
NOP,*CHI,alright .,,,,
,%mor,intj|alright .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,leave her crying .,,,,
,%mor,verb|leave-Fin-Imp-S pron|her-Prs-Gen-S3 noun|cry .,,,,
,%gra,1|3|ROOT 2|3|NMOD-POSS 3|1|OBJ 4|1|PUNCT,,,,
,%com,Glo leaves doll . Bob smiles Glo comes to car,,,,
NOP,*CHI,can I come with ya ?,,,,
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|come-Inf-S adp|with pron|you-Prs-Acc-S2 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,,,
NOP,*BOB,yes .,,,,
,%mor,intj|yes .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,for the next 1 line(s),Bob suggests she sit straddle and she's trying side saddle .,,,
NOP,*BOB,no not sit that way .,,,,
,%mor,intj|no part|not verb|sit-Fin-Imp-S det|that-Def-Dem noun|way .,,,,
,%gra,1|3|DISCOURSE 2|3|ADVMOD 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
NOP,*CHI,hum I guess I can't .,,,,
,%mor,noun|hum pron|I-Prs-Nom-S1 verb|guess-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not .,,,,
,%gra,1|6|ROOT 2|3|NSUBJ 3|1|PARATAXIS 4|5|NSUBJ 5|3|CCOMP 6|5|ADVMOD 7|1|PUNCT,,,,
,%com,Glo gives up and sort of straddles the car .,,,,
NOP,*CHI,xxx .,,,,
NOP,*CHI,see it [= hat] has a [= emblem] (.) just like a fire engine right there .,,,,
,%mor,verb|see-Fin-Imp-S pron|it-Prs-Acc-S3 verb|have-Fin-Ind-Pres-S3 det|a-Ind-Art adv|just adp|like det|a-Ind-Art noun|fire noun|engine adv|right adv|there .,,,,
,%gra,1|11|ROOT 2|3|NSUBJ 3|1|CCOMP 4|9|DET 5|9|ADVMOD 6|9|CASE 7|9|DET 8|9|COMPOUND 9|3|OBJ 10|11|ADVMOD 11|3|ADVMOD 12|1|PUNCT,,,,
,%tim,0,6,30,,
,%com,"Glo points to insigna on Bob's fire hat . he takes it off to look at it , very pleased both looked at it , he puts it back on she pats it and they laugh",,,,
NOP,*BOB,yeah .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,for the next 1 line(s),Glo listens .,,,
NOP,*BOB,it's big you know and I shave right ?,,,,
,%mor,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|big-Pos-S1 pron|you-Prs-Nom-S2 verb|know-Fin-Ind-Pres-S2 cconj|and pron|I-Prs-Nom-S1 verb|shave-Fin-Ind-Pres-S1 adv|right ?,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|9|ROOT 4|5|NSUBJ 5|3|PARATAXIS 6|8|CC 7|8|NSUBJ 8|3|CONJ 9|8|ADVMOD 10|3|PUNCT,,,,
,%com,they both giggle and she tickles back of his neck .,,,,
,%par,<aft> giggles,,,,
NOP,*CHI,right I'm going to get off and .,,,,
,%mor,adv|right pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|go-Part-Pres-S part|to verb|get-Inf-S adp|off cconj|and .,,,,
,%gra,1|4|ADVMOD 2|4|NSUBJ 3|4|AUX 4|8|ROOT 5|6|MARK 6|4|XCOMP 7|6|COMPOUND-PRT 8|4|CC 9|4|PUNCT,,,,
,%tim,0,6,45 00,7,0
,%com,replies .,,,,
,%par,<2w> giggles,,,,
NOP,*BOB,that's how we never play mothers and fathers alright ?,,,,
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adv|how pron|we-Prs-Nom-P1 adv|never verb|play-Fin-Ind-Pres-P1 noun|mother-Plur cconj|and noun|father-Plur intj|alright ?,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|10|ROOT 4|6|NSUBJ 5|6|ADVMOD 6|3|ADVCL-RELCL 7|6|OBJ 8|9|CC 9|7|CONJ 10|3|DISCOURSE 11|3|PUNCT,,,,
,%com,more brief giggle and he this says about tickling .,,,,
NOP,*CHI,drive alright ?,,,,
,%mor,verb|drive-Fin-Imp-S intj|alright ?,,,,
,%gra,1|2|ROOT 2|1|DISCOURSE 3|1|PUNCT,,,,
,%com,Glo gets off and grabs steering wheel both laugh .,,,,
,%par,<aft> laugh,,,,
POL,*BOB,hey hey Katie please don't do that .,,,,
,%mor,intj|hey intj|hey noun|Katie intj|please aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|that-Dem-S1 .,,,,
,%gra,1|7|DISCOURSE 2|7|DISCOURSE 3|7|VOCATIVE 4|7|DISCOURSE 5|7|AUX 6|7|ADVMOD 7|8|ROOT 8|7|OBJ 9|7|PUNCT,,,,
,%com,<bef> Glo goes around car and both laugh . Glo pushes him then goes to look at picture . he turns and speaks . <aft> Glo pushes him,,,,
POL,*BOB,please don't do that .,,,,
,%mor,intj|please aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|that-Dem-S1 .,,,,
,%gra,1|4|DISCOURSE 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,,,
,%tim,0,7,15,,
,%com,<aft> she tickles,,,,
NOP,*BOB,stop it .,,,,
,%mor,verb|stop-Fin-Imp-S pron|it-Prs-Acc-S3 .,,,,
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT,,,,
,%com,<aft> she tires,,,,
,%par,<aft> giggle,,,,
NOP,*CHI,I gotta go to the bathroom .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|go-Inf-S adp|to det|the-Def-Art noun|bathroom .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|6|CASE 5|6|DET 6|3|OBL 7|3|PUNCT,,,,
,%com,sits on pottie,,,,
POL,*BOB,I mean don't tickle me please .,,,,
,%mor,pron|I-Prs-Nom-S1 verb|mean-Fin-Ind-Pres-S1 aux|do-Fin-Imp-S~part|not verb|tickle-Fin-Imp-S pron|I-Prs-Acc-S1 intj|please .,,,,
,%gra,1|2|NSUBJ 2|5|PARATAXIS 3|5|AUX 4|5|ADVMOD 5|7|ROOT 6|5|OBJ 7|5|DISCOURSE 8|5|PUNCT,,,,
,%com,Bob wants her to tickle him again . Bob tries again with this .,,,,
NOP,*CHI,I'm going to wear your high hat .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|go-Part-Pres-S part|to verb|wear-Inf-S pron|your-Prs-Gen-S2 adj|high-Pos-S1 noun|hat .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|8|ROOT 4|5|MARK 5|3|XCOMP 6|8|NMOD-POSS 7|8|AMOD 8|5|OBJ 9|3|PUNCT,,,,
,%com,Glo reaches down for another hat on floor .,,,,
POl,*BOB,please don't .,,,,
,%mor,intj|please verb|do-Fin-Imp-S~part|not .,,,,
,%gra,1|2|DISCOURSE 2|3|ROOT 3|2|ADVMOD 4|2|PUNCT,,,,
,%com,"Bob perseverates , and Glo puts on hat looking for and getting a laugh while Bob still tries to get a tickle .",,,,
POL,*BOB,please .,,,,
,%mor,intj|please .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%par,<bef .> laugh,,,,
NOP,*CHI,I'm going to look in the mirror .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|go-Part-Pres-S part|to verb|look-Inf-S adp|in det|the-Def-Art noun|mirror .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|8|ROOT 4|5|MARK 5|3|XCOMP 6|8|CASE 7|8|DET 8|5|OBL 9|3|PUNCT,,,,
,%tim,0,7,30,,
,%com,"Glo goes to mirror looks at herself goes back by the car , both look at each other .",,,,
POL,*BOB,please don't .,,,,
,%mor,intj|please verb|do-Fin-Imp-S~part|not .,,,,
,%gra,1|2|DISCOURSE 2|3|ROOT 3|2|ADVMOD 4|2|PUNCT,,,,
NOP,*CHI,I'll go the school like this .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|will-Fin-S verb|go-Inf-S det|the-Def-Art noun|school adp|like pron|this-Dem-S1 .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|5|DET 5|3|OBJ 6|7|CASE 7|3|OBL 8|3|PUNCT,,,,
,%com,"Glo passes on , speaking",,,,
NOP,*BOB,I'm not Ma .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not noun|ma .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,,,
,%com,"Bob reacts Glo waves at ""bye""",,,,
NOP,*CHI,bye mom bye mommy .,,,,
,%mor,intj|bye noun|mom noun|bye noun|mommy .,,,,
,%gra,1|3|COMPOUND 2|3|COMPOUND 3|4|COMPOUND 4|4|ROOT 5|4|PUNCT,,,,
,%com,"Glo prancing around , waving speaks",,,,
,%par,<aft> laughs,,,,
NOP,*BOB,I'm not your mommy .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not pron|your-Prs-Gen-S2 noun|mommy .,,,,
,%gra,1|5|NSUBJ 2|5|COP 3|5|ADVMOD 4|5|NMOD-POSS 5|5|ROOT 6|5|PUNCT,,,,
,%com,Bob immediatly responds louder .,,,,
,%par,<bef .> laughs,,,,
NOP,*CHI,goodbye mom .,,,,
,%mor,verb|goodbye-Fin-Imp-S noun|mom .,,,,
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT,,,,
NOP,*BOB,goodbye mom .,,,,
,%mor,verb|goodbye-Fin-Imp-S noun|mom .,,,,
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT,,,,
,%tim,0,7,45,,
,%com,Bob laughs . Glo laughs . Bob much louder now tries .,,,,
NOP,*CHI,that's good enough .,,,,
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adj|good-Pos-S1 adv|enough .,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|4|ROOT 4|3|ADVMOD 5|3|PUNCT,,,,
,%com,Glo puts fire hat over other hat and looks in mirror,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,that's good enough and then I'll wear this hat [= straw] .,,,,
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adj|good-Pos-S1 adv|enough cconj|and adv|then pron|I-Prs-Nom-S1~aux|will-Fin-S verb|wear-Inf-S det|this-Def-Dem noun|hat .,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|11|ROOT 4|3|ADVMOD 5|9|CC 6|9|ADVMOD 7|9|NSUBJ 8|9|AUX 9|3|CONJ 10|11|DET 11|9|OBJ 12|3|PUNCT,,,,
,%tim,0,8,0,,
,%com,Glo puts another hat on top,,,,
NOP,*BOB,hey Rusty has that hat .,,,,
,%mor,intj|hey noun|Rusty verb|have-Fin-Ind-Pres-S3 det|that-Def-Dem noun|hat .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
,%com,Bob watches and tries to tell glo,,,,
NOP,*CHI,and then I'll wear .,,,,
,%mor,cconj|and adv|then pron|I-Prs-Nom-S1~aux|will-Fin-S verb|wear-Inf-S .,,,,
,%gra,1|5|CC 2|5|ADVMOD 3|5|NSUBJ 4|5|AUX 5|5|ROOT 6|5|PUNCT,,,,
NOP,*BOB,Rusty has that hat .,,,,
,%mor,noun|Rusty verb|have-Fin-Ind-Pres-S3 det|that-Def-Dem noun|hat .,,,,
,%gra,1|2|NSUBJ 2|4|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT,,,,
,%com,Bob tries again to tell,,,,
NOP,*CHI,then I'll wear this hat [= red straw] .,,,,
,%mor,adv|then pron|I-Prs-Nom-S1~aux|will-Fin-S verb|wear-Inf-S det|this-Def-Dem noun|hat .,,,,
,%gra,1|4|ADVMOD 2|4|NSUBJ 3|4|AUX 4|6|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT,,,,
,%tim,0,8,15,,
,%com,Glo continues to pile on hats moving rather rapidly but watching for Bob's reactions Bob makes driving noises,,,,
NOP,*CHI,see there now do I look pretty ?,,,,
,%mor,verb|see-Fin-Imp-S adv|there adv|now aux|do-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 verb|look-Inf-S adv|pretty ?,,,,
,%gra,1|7|ROOT 2|1|ADVMOD 3|6|ADVMOD 4|6|AUX 5|6|NSUBJ 6|1|PARATAXIS 7|6|ADVMOD 8|1|PUNCT,,,,
,%com,"Glo parades around , calls out ""bye bye""",,,,
NOP,*CHI,now I'll go into school bye bye .,,,,
,%mor,adv|now pron|I-Prs-Nom-S1~aux|will-Fin-S verb|go-Inf-S adp|into noun|school noun|bye noun|bye .,,,,
,%gra,1|4|ADVMOD 2|4|NSUBJ 3|4|AUX 4|8|ROOT 5|8|CASE 6|7|COMPOUND 7|8|COMPOUND 8|4|OBL 9|4|PUNCT,,,,
NOP,*BOB,bye .,,,,
,%mor,intj|bye .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Bob calls passes and gets in .,,,,
NOP,*BOB,bye bye mother .,,,,
,%mor,noun|bye noun|bye noun|mother .,,,,
,%gra,1|2|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT,,,,
,%tim,0,8,30,,
,%com,but Glo is too quick,,,,
,%par,<bef .> calls,,,,
NOP,*CHI,bye bye mom .,,,,
,%mor,intj|bye intj|bye noun|mom .,,,,
,%gra,1|2|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT,,,,
,%com,wearing men's hats speaks,,,,
,%par,<aft> calls,,,,
NOP,*BOB,I'm not your Ma .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not pron|your-Prs-Gen-S2 noun|ma .,,,,
,%gra,1|5|NSUBJ 2|5|COP 3|5|ADVMOD 4|5|NMOD-POSS 5|5|ROOT 6|5|PUNCT,,,,
,%com,drops volume and looks at Glo both close direct gaze .,,,,
NOP,*CHI,yes ya are .,,,,
,%mor,intj|yes intj|ya aux|be-Fin-Ind-Pres-S3 .,,,,
,%gra,1|3|ROOT 2|1|DISCOURSE 3|1|PARATAXIS 4|1|PUNCT,,,,
NOP,*BOB,no I'm not .,,,,
,%mor,intj|no pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|4|ROOT 5|4|PUNCT,,,,
NOP,*CHI,now I'll wear cowboy hat you wanna be a cowboy ?,,,,
,%mor,adv|now pron|I-Prs-Nom-S1~aux|will-Fin-S verb|wear-Inf-S noun|cowboy noun|hat pron|you-Prs-Nom-S2 aux|wanna-Fin-S aux|be-Inf-S det|a-Ind-Art noun|cowboy ?,,,,
,%gra,1|4|ADVMOD 2|4|NSUBJ 3|4|AUX 4|11|ROOT 5|6|COMPOUND 6|4|OBJ 7|11|NSUBJ 8|11|AUX 9|11|COP 10|11|DET 11|4|PARATAXIS 12|4|PUNCT,,,,
,%com,Glo walks on past picks up cowboy hat and offers it to bob,,,,
NOP,*BOB,yeah .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,8,45,,
,%com,Bob accepts rapidly and puts on hat but it doesn't do any good .,,,,
NOP,*CHI,okay .,,,,
,%mor,intj|okay .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,for the next 1 line(s),Glo speaks back . Bob reacts,,,
NOP,*CHI,bye bye mom .,,,,
,%mor,intj|bye intj|bye noun|mom .,,,,
,%gra,1|2|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT,,,,
NOP,*BOB,I'm not mom .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not noun|mom .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,,,
,%com,"again , no response (Bob is upset)",,,,
NOP,*BOB,I'm not mom .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not noun|mom .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,,,
,%com,"repeats , Glo hums; doesn't acknowledge . pause",,,,
NOP,*CHI,xxx paddy@wp wack@wp xxx whoop@wp .,,,,
,%mor,noun|addyp noun|wackp noun|whoopp .,,,,
,%gra,1|3|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT,,,,
,%tim,0,9,0,,
,%com,Glo looks in mirror sings lets hats fall off .,,,,
NOP,*CHI,oo I can't see .,,,,
,%mor,intj|oo pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|see-Inf-S .,,,,
,%gra,1|5|DISCOURSE 2|5|NSUBJ 3|5|AUX 4|5|ADVMOD 5|5|ROOT 6|5|PUNCT,,,,
,%tim,0,9,15,,
NOP,*BOB,I don't need cowboy hat &~doan &~ba .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|need-Inf-S noun|cowboy noun|hat .,,,,
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|6|ROOT 5|6|COMPOUND 6|4|OBJ 7|4|PUNCT,,,,
,%com,"both laugh as hats fall Glo parades and sings . Bob takes off hat . hands it to Glo she puts it on grabs steering wheel , both laugh and wrestle with wheel",,,,
,%par,<bef> laughs,,,,
NOP,*CHI,ding@wp ba@wp ding@wp ba@wp ding@wp ba@wp .,,,,
,%mor,noun|dingp noun|bap noun|dingp noun|bap noun|dingp x|bap .,,,,
,%gra,1|2|COMPOUND 2|6|COMPOUND 3|4|COMPOUND 4|6|COMPOUND 5|6|COMPOUND 6|6|ROOT 7|6|PUNCT,,,,
,%par,<aft> laugh,,,,
NOP,*BOB,no .,,,,
,%mor,intj|no .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%par,<bef .> laughs,,,,
POL,*BOB,"please don't do it , please .",,,,
,%mor,intj|please aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|it-Prs-Acc-S3 cm|cm intj|please .,,,,
